Timestamp,"Concorda que está suficientemente informado(a) a respeito da pesquisa que será realizada e concorda de livre e espontânea vontade em participar, como participante ?",Qual o seu curso de graduação? (UFCG - Polo na Sede),Aspectos relacionados à disciplina [Relevância desta disciplina para o desenvolvimento profissional/pessoal.],Aspectos relacionados à disciplina [Relação desta disciplina com as demais do curso.],Aspectos relacionados à disciplina [Organização do plano da disciplina.],Aspectos relacionados à disciplina [Indicação de textos e de outros materiais de estudo.],Aspectos relacionados à disciplina [Contribuição da disciplina para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.],Aspectos relacionados à disciplina [Contribuição da disciplina para suprir as necessidades básicas computacionais requeridas para minha formação.],Ação de ensino do professor [Clareza no desenvolvimento do conteúdo.],Ação de ensino do professor [Procedimentos didáticos.],Ação de ensino do professor [Reflexão sobre os resultados da atividades de avaliação desta disciplina.],Ação de ensino do professor [Contribuição para um ambiente favorável à aprendizagem.],Ação de ensino do professor [Aproveitamento do tempo da aula.],Autoavaliação dos alunos [Utilização dos materiais de estudo indicados.],Autoavaliação dos alunos [Motivação para aprender mais.],Autoavaliação dos alunos [Contribuição como aluno para um ambiente favorável à aprendizagem.],Autoavaliação dos alunos [Contribuição da turma para um ambiente favorável à aprendizagem..],Alguma crítica que queira mencionar ao processo de aprendizagem desta disciplina? Forneça apenas comentários que motivem mudanças.,Você pode destacar algo que percebeu como positivo para o seu aprendizado durante o processo de aprendizagem na disciplina?
5/30/2020 11:28:38,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Como a disciplina é ministrada no começo do curso, os alunos recém chegados da universidade não tem noção do quanto a mesma será importante para a sua formação e, portanto, cursam tal cadeira sem dar a devida atenção. Metodologias devem ser criadas para estimular os discentes a empenhar-se mais para esta cadeira.",
5/30/2020 22:25:38,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,,
6/3/2020 1:56:19,Sim,FÍSICA (LIC) - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
6/29/2020 8:26:13,Sim,ENGENHARIA DE PETRÓLEO - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Retirar o professor c do grupo de docentes que ministra esta cadeira,Contar com muitos cursos online e ter um computador em minha residência
7/6/2020 14:27:58,Sim,MATEMÁTICA (LIC) - Diurno,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,"Além da disciplina não contribuir muito para a formação dos alunos do meu curso, ela também foi uma péssima experiência, por conta do professor.",Nada
7/6/2020 14:44:33,Sim,MATEMÁTICA (LIC) - Diurno,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,,
7/6/2020 14:53:47,Sim,ESTATÍSTICA - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito insatisfeito,,
7/6/2020 14:54:19,Sim,ESTATÍSTICA - Diurno,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Quando cursei essa disciplina o professor não teve tempo de trabalhar com o software R. Acredito que seja importante abordar este software na disciplina.,As discussões em sala de aula sobre as atividades práticas
7/6/2020 15:01:25,Sim,ESTATÍSTICA - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Um plano de estudos focado em programação básica e que seja de fácil entendimento.,"Não. A disciplina foi ministrada por um péssimo professor (professor x), e garato que toda a turma não aprovou."
7/6/2020 15:54:09,Sim,METEOROLOGIA - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,O envio dos programas realizado no freemat para o professor isso contribui muito na assimilação do conteúdo 
7/6/2020 17:30:24,Sim,METEOROLOGIA - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,O envio dos programas realizado no freemat para o professor isso contribui muito na assimilação do conteúdo 
7/6/2020 19:33:22,Sim,ESTATÍSTICA - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,,
7/24/2020 13:34:42,Sim,ENGENHARIA DE MATERIAIS - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,"Melhor aproveitamento do tempo da disciplina para as ferramentas e utilidades de pacotes digitais que facilitam a rotina de trabalho dos engenheiros, sendo um exemplo o Pacote Office.",Linguagem MatLab. 
7/24/2020 17:39:30,Sim,ENGENHARIA DE MATERIAIS - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Eu tive a oportunidade de mudar para uma professora maravilhosa: professora b. Se outros professores fossem organizados e dedicados como ela, talvez a disciplina seria melhor para todos!","Sei executar programações simples com o Python, e, graças a disciplina, organizar planilhas com o Excel"
7/24/2020 19:07:18,Sim,ENGENHARIA DE MATERIAIS - Diurno,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos satisfeito,,
7/24/2020 22:23:03,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Deveriam focar mais no que realmente o aluno irá usar no decorrer de sua formação e posteriormente,
7/24/2020 22:29:13,Sim,ENGENHARIA DE MATERIAIS - Diurno,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,,
9/16/2020 17:09:04,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Muito satisfeito,Mais ou menos insatisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,,
9/16/2020 19:56:12,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,,
9/27/2020 14:18:24,Sim,ENGENHARIA DE ALIMENTOS - Diurno,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,"poderiam manda mais material de apoio, como indicação de videos aulas.","a aprendizagem no uso de planilhas eletrônicas
"
