Timestamp,"Concorda que está suficientemente informado(a) a respeito da pesquisa que será realizada e concorda de livre e espontânea vontade em participar, como participante ?",Qual o seu curso de graduação? (UFCG - Polo na Sede),Aspectos relacionados à disciplina [Relevância desta disciplina para o desenvolvimento profissional/pessoal.],Aspectos relacionados à disciplina [Relação desta disciplina com as demais do curso.],Aspectos relacionados à disciplina [Organização do plano da disciplina.],Aspectos relacionados à disciplina [Indicação de textos e de outros materiais de estudo.],Aspectos relacionados à disciplina [Contribuição da disciplina para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.],Aspectos relacionados à disciplina [Contribuição da disciplina para suprir as necessidades básicas computacionais requeridas para minha formação.],Ação de ensino do professor [Clareza no desenvolvimento do conteúdo.],Ação de ensino do professor [Procedimentos didáticos.],Ação de ensino do professor [Reflexão sobre os resultados da atividades de avaliação desta disciplina.],Ação de ensino do professor [Contribuição para um ambiente favorável à aprendizagem.],Ação de ensino do professor [Aproveitamento do tempo da aula.],Autoavaliação dos alunos [Utilização dos materiais de estudo indicados.],Autoavaliação dos alunos [Motivação para aprender mais.],Autoavaliação dos alunos [Contribuição como aluno para um ambiente favorável à aprendizagem.],Autoavaliação dos alunos [Contribuição da turma para um ambiente favorável à aprendizagem..],Alguma crítica que queira mencionar ao processo de aprendizagem desta disciplina? Forneça apenas comentários que motivem mudanças.,Você pode destacar algo que percebeu como positivo para o seu aprendizado durante o processo de aprendizagem na disciplina?
5/26/2020 13:05:03,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"No semestre em que estive na disciplina, a linguagem de programação ensinada foi Fortran. Talvez utilizar outra linguagem, como C (introduzindo, por exemplo, o arduino), fosse mais proveitoso do que aprender uma linguagem obsoleta.",A disponibilidade de computadores para cada aluno e a boa didática do professor.
5/26/2020 13:16:16,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","É necessário haver mais ligação entre a disciplina e o curso da turma para qual esta sendo ministrada. Existe um grande foco na area da computação, mas pouca formas de aplicações desta para com as futuras profissões dos alunos envolvidos, é preciso um maior enfoque nisso, buscar relacionar ambas as partes.",
5/26/2020 13:19:43,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito satisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Provas escritas, sem consulta ao programa estudado (ex: Excel). O aluno se sente obrigado a decorar os códigos e n em aprender as funções.",Professor explicava bem.
5/26/2020 13:22:31,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,,Os monitores foram extremamente importantes no processo de aprendizado dessa disciplina
5/26/2020 13:32:19,Sim,FÍSICA (BAC) - Diurno,Muito satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,,
5/26/2020 13:36:59,Sim,ENGENHARIA CIVIL - Diurno,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Acredito q a disciplina tem pouca carga horária, visto que é algo que necessita grande prática, e em sua maioria no tempo fora da universidade os alunos procuram dedicar mais horas as cadeiras de álgebra e cálculo. Logo uma maior carga horária de ICC aumentaria a prática e a fixação do conteúdo",Prática de exercícios em sala de aula 
5/26/2020 14:07:36,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Muito satisfeito,Muito satisfeito,Mais ou menos satisfeito,Mais ou menos satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,Utilidade de programação no Excel no exercício da nossa profissão 
5/26/2020 14:29:25,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,Muito insatisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,"Nem satisfeito, nem insatisfeito","1. Acho que deveria ensinar mais sobre o excel em si, que de modo geral todos os cursos utilizam.
2. As provas deviam ser realizadas no próprio computador, e não em folhas. 
3. Poderia ser disponibilizado apostilas, ou outra fonte de pesquisa.","Foi de modo breve, ensinado os comando inciais para o excel, isso foi a porta de entrada, para entender que ele pode fazer muitas coisas e ensinou as funções básicas. O matlab, também, sempre interessante se conhecer sobre, e do mesmo modo, foi bom ter esse primeiro reconhecimento com o programa."
5/26/2020 14:31:48,Sim,ENGENHARIA CIVIL - Diurno,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",,
5/26/2020 15:02:34,Sim,ENGENHARIA CIVIL - Diurno,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito","Nem satisfeito, nem insatisfeito",Mais ou menos insatisfeito,Muito insatisfeito,Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,Mais ou menos satisfeito,Mais ou menos insatisfeito,"Nem satisfeito, nem insatisfeito",Mais ou menos satisfeito,"Nem satisfeito, nem insatisfeito",,
